,country,year,attack type,target industry,financial loss (in million $),number of affected users,security vulnerability type,defense mechanism used,incident resolution time (in hours),data breach in gb
16089,uk,2020,ddos,it,14.09,655640.0,zero day,firewall,61.0,55.2
16090,france,2020,phishing,it,76.02,573328.0,zero day,ai based detection,37.0,67.77
16091,uk,2019,malware,government,46.27,502006.5,social engineering,antivirus,10.0,178.5
16093,france,2017,sql injection,healthcare,18.75,436009.0,social engineering,ai based detection,44.0,668.57
16094,uk,2020,sql injection,it,56.3,142291.0,weak passwords,vpn,29.0,164.42
16095,germany,2019,man-in-the-middle,government,51.41,276197.0,zero day,firewall,2.0,13.98
16096,uk,2020,ransomware,it,33.61,807918.0,social engineering,antivirus,37.0,57.18
16097,uk,2021,man-in-the-middle,telecommunications,51.41,483484.0,unpatched software,vpn,37.0,2242.61
16098,uk,2015,ransomware,it,51.41,7290.0,weak passwords,ai based detection,32.0,8.47
16099,india,2022,ddos,it,38.69,333967.0,zero day,antivirus,37.0,120.59
16100,china,2020,phishing,education,84.4,502006.5,zero day,antivirus,37.0,33.65
16101,uk,2020,malware,it,69.46,502006.5,zero day,antivirus,58.0,157.64
16102,brazil,2024,ddos,it,34.46,502006.5,weak passwords,firewall,8.0,365.37
16103,india,2023,malware,education,95.97,629490.0,zero day,vpn,38.0,30.59
16104,france,2021,sql injection,it,98.76,904598.0,zero day,ai based detection,11.0,55.2
16105,usa,2017,ransomware,education,12.59,502006.5,social engineering,ai based detection,65.0,1528.14
16106,japan,2019,ddos,retail,78.78,214152.0,weak passwords,firewall,7.0,60.3
16107,australia,2024,ddos,banking,21.11,18766.0,weak passwords,firewall,43.0,177.21
16108,france,2020,malware,banking,50.19,760230.0,zero day,vpn,56.0,22.52
16109,india,2021,ransomware,healthcare,76.83,603402.0,zero day,ai based detection,37.0,55.2
16110,uk,2020,man-in-the-middle,it,17.49,693907.0,zero day,ai based detection,54.0,41.89
16111,brazil,2020,sql injection,it,66.78,698892.0,zero day,antivirus,24.0,180.44
16112,uk,2015,phishing,it,51.41,64082.0,social engineering,antivirus,16.0,332.62
16113,usa,2022,ransomware,it,51.41,687052.0,unpatched software,encryption,37.0,46.32
16114,russia,2018,phishing,it,51.41,417488.0,weak passwords,encryption,37.0,55.2
16115,germany,2020,phishing,telecommunications,15.14,970038.0,zero day,firewall,47.0,541.89
16116,japan,2016,phishing,it,10.4,240441.0,zero day,antivirus,17.0,194.47
16117,india,2020,man-in-the-middle,banking,59.67,747418.0,zero day,vpn,37.0,25.18
16118,japan,2019,phishing,retail,51.41,977185.0,social engineering,antivirus,71.0,55.2
16119,uk,2020,phishing,retail,58.98,267401.0,zero day,antivirus,20.0,16.14
16120,uk,2020,ransomware,retail,19.47,496271.0,unpatched software,antivirus,20.0,226.73
16121,france,2015,phishing,banking,64.62,104619.0,unpatched software,antivirus,68.0,8.87
16122,uk,2024,ransomware,healthcare,98.25,502006.5,zero day,antivirus,37.0,150.69
16123,uk,2020,ransomware,it,41.88,502006.5,zero day,antivirus,24.0,10.79
16124,brazil,2020,ddos,government,13.22,790415.0,zero day,antivirus,52.0,187.79
16125,germany,2020,ransomware,it,54.65,107180.0,zero day,antivirus,68.0,56.03
16126,uk,2018,phishing,it,72.01,401960.0,unpatched software,antivirus,37.0,403.61
16127,usa,2020,ransomware,telecommunications,93.89,602474.0,social engineering,vpn,71.0,55.2
16128,uk,2024,phishing,it,18.64,701144.0,unpatched software,antivirus,41.0,469.94
16129,uk,2020,malware,it,64.05,116714.0,zero day,encryption,37.0,55.2
16130,uk,2016,man-in-the-middle,it,41.79,453408.0,social engineering,antivirus,37.0,67.72
16131,uk,2022,phishing,retail,13.37,40843.0,zero day,encryption,37.0,9.6
16132,australia,2015,man-in-the-middle,healthcare,1.62,336650.0,zero day,vpn,35.0,11.26
16133,china,2020,phishing,healthcare,92.64,502006.5,weak passwords,ai based detection,18.0,2.39
16134,brazil,2020,ransomware,telecommunications,32.18,502006.5,zero day,antivirus,12.0,55.2
16135,uk,2020,sql injection,education,51.41,796878.0,zero day,antivirus,26.0,60.54
16136,japan,2023,man-in-the-middle,government,51.41,738014.0,social engineering,antivirus,24.0,23.58
16137,usa,2021,ddos,education,51.41,315915.0,social engineering,antivirus,52.0,41.67
16138,uk,2022,ransomware,education,51.41,164734.0,unpatched software,firewall,7.0,114.33
16139,india,2024,man-in-the-middle,it,51.41,617939.0,zero day,firewall,22.0,34.6
16140,uk,2021,phishing,healthcare,96.81,374164.0,weak passwords,antivirus,37.0,10.15
16141,uk,2020,phishing,banking,74.51,332766.0,weak passwords,antivirus,53.0,50.41
16142,brazil,2018,phishing,healthcare,2.52,414899.0,weak passwords,encryption,37.0,14.19
16143,uk,2020,ddos,retail,81.63,140371.0,zero day,encryption,13.0,36.37
16144,australia,2019,ransomware,education,43.53,729109.0,zero day,vpn,22.0,55.2
16145,uk,2020,ddos,education,84.28,502006.5,weak passwords,encryption,37.0,36.39
16146,russia,2019,phishing,healthcare,17.6,839921.0,zero day,antivirus,5.0,55.2
16147,uk,2020,malware,education,31.35,312314.0,social engineering,ai based detection,37.0,467.53
16148,australia,2020,man-in-the-middle,healthcare,51.41,299613.0,zero day,firewall,20.0,22.9
16149,india,2016,phishing,banking,43.81,250482.0,weak passwords,vpn,20.0,10.31
16150,brazil,2020,ddos,banking,84.41,230110.0,social engineering,antivirus,51.0,50.46
16151,australia,2015,sql injection,retail,55.78,502006.5,social engineering,ai based detection,50.0,307.97
16152,germany,2024,ddos,telecommunications,67.47,337890.0,weak passwords,antivirus,35.0,26.17
16153,japan,2016,malware,education,8.08,557108.0,zero day,firewall,17.0,213.18
16154,uk,2022,ddos,telecommunications,46.2,299968.0,zero day,antivirus,46.0,334.51
16155,uk,2022,phishing,telecommunications,72.06,459296.0,weak passwords,ai based detection,13.0,17.1
16156,uk,2019,ransomware,telecommunications,90.48,46972.0,zero day,vpn,23.0,19.8
16157,uk,2022,malware,healthcare,21.26,602041.0,zero day,antivirus,25.0,159.01
16158,japan,2016,phishing,banking,82.93,36797.0,unpatched software,vpn,2.0,68.56
16159,uk,2020,phishing,healthcare,23.15,730762.0,zero day,vpn,19.0,19.51
16160,russia,2016,malware,government,66.19,91194.0,unpatched software,encryption,72.0,32.19
16161,uk,2015,phishing,banking,95.81,42883.0,zero day,encryption,37.0,55.2
16162,uk,2020,phishing,it,48.33,422592.0,unpatched software,antivirus,37.0,5.22
16163,uk,2015,man-in-the-middle,healthcare,29.54,502006.5,social engineering,vpn,14.0,172.17
16164,usa,2020,phishing,banking,51.41,708034.0,zero day,ai based detection,39.0,55.2
16165,japan,2024,phishing,it,51.41,47841.0,weak passwords,antivirus,23.0,55.2
16166,japan,2015,sql injection,banking,73.94,502006.5,social engineering,encryption,6.0,52.68
16167,australia,2020,malware,healthcare,51.41,776819.0,unpatched software,vpn,37.0,17.95
16168,germany,2019,phishing,it,89.6,544648.0,zero day,antivirus,47.0,687.62
16169,uk,2024,man-in-the-middle,government,11.99,735203.0,zero day,vpn,66.0,22.69
16170,uk,2018,sql injection,education,77.02,424342.0,social engineering,antivirus,37.0,10.52
16171,russia,2020,malware,retail,78.82,155353.0,weak passwords,vpn,67.0,116.97
16172,germany,2020,ddos,banking,64.64,735855.0,zero day,firewall,37.0,20.27
16173,uk,2016,man-in-the-middle,it,51.41,502006.5,zero day,antivirus,39.0,55.2
16174,japan,2024,phishing,education,51.41,788243.0,social engineering,antivirus,38.0,55.2
16175,germany,2017,phishing,banking,69.85,253058.0,social engineering,antivirus,44.0,11.47
16176,australia,2020,phishing,healthcare,80.11,537530.0,zero day,encryption,14.0,6.14
16177,china,2020,sql injection,banking,2.46,95779.0,zero day,vpn,43.0,727.05
16178,france,2024,phishing,healthcare,59.79,502006.5,zero day,antivirus,48.0,130.22
16179,russia,2019,ransomware,it,11.06,490910.0,zero day,ai based detection,58.0,55.2
16180,uk,2020,phishing,banking,73.69,522097.0,weak passwords,vpn,63.0,54.31
16181,uk,2016,phishing,retail,51.41,218143.0,zero day,encryption,27.0,55.2
16182,germany,2018,malware,it,30.2,667023.0,zero day,antivirus,26.0,235.1
16183,australia,2020,phishing,education,67.23,362308.0,social engineering,ai based detection,5.0,17.57
16184,russia,2023,ddos,it,86.81,717258.0,zero day,firewall,16.0,94.56
16185,uk,2020,phishing,retail,76.39,984.0,unpatched software,antivirus,56.0,25.53
16186,russia,2020,ddos,telecommunications,96.61,956064.0,weak passwords,antivirus,45.0,41.12
16187,uk,2024,malware,it,64.3,891367.0,social engineering,firewall,21.0,55.2
16188,uk,2020,phishing,it,51.41,842637.0,unpatched software,antivirus,55.0,54.05
16189,usa,2015,phishing,it,45.91,502006.5,weak passwords,antivirus,37.0,164.57
16190,uk,2022,malware,it,41.67,945897.0,weak passwords,firewall,66.0,113.37
16191,germany,2018,sql injection,banking,81.33,508544.0,unpatched software,antivirus,45.0,5.68
16192,australia,2020,ransomware,healthcare,91.8,502006.5,zero day,antivirus,37.0,7.12
16193,uk,2024,man-in-the-middle,it,3.69,529410.0,zero day,firewall,59.0,55.2
16194,australia,2018,phishing,it,51.41,665381.0,unpatched software,ai based detection,61.0,848.05
16195,uk,2019,phishing,telecommunications,89.5,163110.0,zero day,encryption,35.0,15.22
16196,uk,2019,ransomware,it,60.24,354784.0,zero day,ai based detection,65.0,39.95
16197,germany,2022,ransomware,it,7.65,502006.5,zero day,encryption,50.0,24.42
16198,uk,2016,phishing,telecommunications,44.93,23249.0,social engineering,firewall,1.0,23.78
16199,uk,2015,sql injection,retail,26.98,502006.5,social engineering,firewall,24.0,71.33
16200,russia,2020,ransomware,retail,84.08,71334.0,unpatched software,ai based detection,26.0,446.38
16201,australia,2019,phishing,government,99.2,605470.0,unpatched software,encryption,18.0,108.2
16202,india,2023,sql injection,government,40.63,502006.5,zero day,antivirus,11.0,16.36
16203,china,2023,phishing,it,11.89,260907.0,weak passwords,ai based detection,31.0,3394.27
16204,japan,2019,man-in-the-middle,it,73.71,560693.0,weak passwords,firewall,1.0,61.43
16205,brazil,2020,phishing,it,16.44,82841.0,social engineering,antivirus,36.0,22.97
16206,uk,2021,malware,government,51.05,262500.0,social engineering,ai based detection,27.0,454.02
16207,uk,2023,malware,it,51.41,502006.5,zero day,firewall,14.0,27.02
16208,china,2016,phishing,it,17.06,44473.0,weak passwords,vpn,67.0,55.2
16209,france,2017,ransomware,it,51.41,372975.0,weak passwords,firewall,37.0,14.79
16210,uk,2020,ddos,government,66.4,613192.0,weak passwords,vpn,50.0,466.4
16211,india,2017,sql injection,government,20.21,421023.0,unpatched software,encryption,72.0,55.2
16212,uk,2015,ransomware,healthcare,1.48,818172.0,social engineering,vpn,30.0,378.64
16213,russia,2018,ransomware,education,51.41,828880.0,zero day,antivirus,69.0,946.38
16214,uk,2017,man-in-the-middle,government,56.15,487668.0,unpatched software,ai based detection,72.0,9.99
16215,france,2020,ransomware,telecommunications,10.52,502006.5,unpatched software,vpn,19.0,370.06
16216,uk,2020,sql injection,telecommunications,34.84,712886.0,weak passwords,antivirus,7.0,55.2
16217,china,2019,phishing,it,5.05,65176.0,zero day,encryption,49.0,11.35
16218,germany,2020,sql injection,it,51.41,248356.0,weak passwords,ai based detection,25.0,16.36
16219,uk,2020,ddos,it,51.41,499615.0,unpatched software,antivirus,37.0,116.22
16220,russia,2020,man-in-the-middle,telecommunications,51.41,446917.0,unpatched software,firewall,1.0,55.2
16221,uk,2023,sql injection,education,77.96,164892.0,weak passwords,firewall,63.0,42.49
16222,uk,2022,sql injection,it,61.97,502006.5,unpatched software,vpn,23.0,55.2
16223,uk,2016,phishing,banking,51.41,219846.0,social engineering,ai based detection,13.0,132.55
16224,uk,2024,malware,education,51.41,862049.0,unpatched software,antivirus,37.0,148.77
16225,usa,2015,man-in-the-middle,education,37.18,502006.5,zero day,encryption,28.0,281.81
16226,india,2022,malware,government,27.09,502006.5,weak passwords,vpn,37.0,837.19
16227,germany,2015,phishing,government,0.72,944106.0,unpatched software,vpn,2.0,52.88
16228,russia,2023,phishing,banking,9.24,612761.0,unpatched software,encryption,71.0,24.99
16229,uk,2020,phishing,telecommunications,8.69,813960.0,weak passwords,vpn,37.0,137.04
16230,germany,2021,phishing,healthcare,32.07,510895.0,weak passwords,antivirus,6.0,9.81
16231,india,2023,malware,healthcare,51.41,652957.0,weak passwords,encryption,65.0,19.73
16232,uk,2020,ransomware,it,51.41,991854.0,unpatched software,vpn,11.0,244.46
16233,india,2018,phishing,retail,56.06,382041.0,weak passwords,encryption,4.0,45.32
16234,usa,2015,phishing,government,51.41,428556.0,weak passwords,antivirus,15.0,8.91
16235,uk,2019,sql injection,banking,79.34,502006.5,social engineering,firewall,1.0,5.84
16236,uk,2020,ransomware,healthcare,17.58,18399.0,zero day,firewall,37.0,58.74
16237,germany,2020,man-in-the-middle,it,97.79,984519.0,unpatched software,firewall,57.0,302.73
16238,brazil,2021,ddos,it,75.1,740795.0,unpatched software,firewall,12.0,296.73
16239,uk,2019,sql injection,it,39.58,483585.0,unpatched software,antivirus,13.0,64.48
16240,brazil,2021,ransomware,healthcare,78.08,502006.5,zero day,antivirus,2.0,1111.39
16241,uk,2020,sql injection,government,51.41,502006.5,social engineering,ai based detection,21.0,46.65
16242,uk,2021,ransomware,banking,24.33,77845.0,social engineering,antivirus,26.0,55.2
16243,india,2020,phishing,it,70.91,403494.0,social engineering,firewall,3.0,55.2
16244,germany,2018,phishing,banking,51.41,502006.5,unpatched software,vpn,37.0,27.91
16245,uk,2016,phishing,education,9.84,628589.0,zero day,encryption,8.0,195.98
16246,australia,2018,man-in-the-middle,healthcare,34.29,943349.0,zero day,antivirus,5.0,570.17
16247,brazil,2018,ddos,it,1.58,100633.0,zero day,encryption,53.0,55.2
16248,france,2017,phishing,government,59.64,551515.0,zero day,ai based detection,37.0,109.22
16249,germany,2023,man-in-the-middle,it,80.97,502006.5,zero day,encryption,41.0,262.52
16250,australia,2021,phishing,retail,22.48,502006.5,zero day,antivirus,22.0,55.2
16251,france,2022,phishing,banking,69.99,366596.0,weak passwords,ai based detection,37.0,1.78
16252,japan,2021,sql injection,it,51.41,452476.0,zero day,vpn,41.0,79.12
16253,japan,2020,phishing,banking,70.14,575065.0,weak passwords,encryption,61.0,171.08
16254,uk,2024,phishing,education,68.35,502006.5,unpatched software,firewall,37.0,13.18
16255,usa,2016,phishing,education,86.3,702702.0,zero day,encryption,14.0,37.29
16256,australia,2020,phishing,government,97.18,692900.0,social engineering,antivirus,72.0,9.65
16257,brazil,2021,sql injection,it,92.4,654303.0,unpatched software,antivirus,15.0,55.2
16258,russia,2020,ransomware,it,50.11,851222.0,zero day,encryption,16.0,254.81
16259,uk,2016,man-in-the-middle,government,35.59,729762.0,zero day,vpn,6.0,54.29
16260,usa,2022,ddos,healthcare,56.89,388698.0,social engineering,vpn,35.0,599.75
16261,australia,2020,sql injection,telecommunications,86.79,293647.0,social engineering,antivirus,37.0,197.55
16262,china,2021,phishing,government,84.49,502006.5,weak passwords,antivirus,6.0,32.09
16263,uk,2023,phishing,it,51.41,502006.5,zero day,firewall,11.0,55.2
16264,india,2019,ddos,government,63.63,47191.0,unpatched software,vpn,28.0,127.65
16265,brazil,2020,phishing,retail,42.69,309021.0,zero day,encryption,2.0,232.83
16266,germany,2018,ddos,it,15.14,502006.5,zero day,antivirus,63.0,88.59
16267,uk,2016,phishing,it,25.81,132286.0,unpatched software,antivirus,37.0,286.69
16268,france,2023,sql injection,banking,46.58,659062.0,unpatched software,antivirus,42.0,55.2
16269,france,2020,malware,it,51.41,502006.5,zero day,encryption,29.0,12.23
16270,uk,2017,phishing,it,53.07,502006.5,zero day,antivirus,37.0,55.2
16271,brazil,2020,ddos,government,24.23,502006.5,zero day,vpn,20.0,74.28
16272,uk,2022,phishing,retail,49.08,502006.5,unpatched software,antivirus,36.0,9.0
16273,uk,2019,phishing,banking,84.5,828382.0,weak passwords,antivirus,4.0,7.35
16274,russia,2024,phishing,it,99.31,362492.0,zero day,ai based detection,63.0,106.81
16275,uk,2021,man-in-the-middle,healthcare,55.4,68886.0,weak passwords,antivirus,41.0,29.68
16276,japan,2017,ddos,education,7.84,165722.0,unpatched software,encryption,23.0,42.57
16277,uk,2020,sql injection,government,51.41,604113.0,weak passwords,encryption,7.0,55.2
16278,france,2019,phishing,healthcare,51.41,502006.5,unpatched software,vpn,52.0,534.27
16279,australia,2019,phishing,it,51.41,507976.0,zero day,ai based detection,70.0,362.36
16280,india,2020,ddos,banking,43.45,180980.0,unpatched software,ai based detection,15.0,8.53
16281,france,2020,ransomware,healthcare,37.36,745273.0,zero day,antivirus,67.0,24.55
16282,germany,2023,sql injection,telecommunications,51.41,536737.0,unpatched software,encryption,37.0,195.39
16283,germany,2020,sql injection,banking,65.24,202102.0,unpatched software,antivirus,54.0,55.2
16284,uk,2020,ddos,education,80.79,134998.0,zero day,antivirus,42.0,51.31
16285,uk,2015,ransomware,banking,51.41,41635.0,unpatched software,encryption,37.0,9.91
16286,japan,2020,phishing,telecommunications,35.54,604908.0,zero day,antivirus,25.0,19.61
16287,france,2020,man-in-the-middle,it,88.42,502006.5,zero day,antivirus,26.0,25.15
16288,brazil,2020,ransomware,it,56.59,679131.0,zero day,ai based detection,55.0,82.72
16289,india,2015,phishing,retail,39.28,585934.0,unpatched software,antivirus,37.0,55.2
16290,usa,2023,man-in-the-middle,it,88.81,762605.0,zero day,antivirus,53.0,19.49
16291,uk,2021,phishing,it,58.9,984973.0,zero day,encryption,37.0,11.72
16292,russia,2020,phishing,it,9.52,502006.5,unpatched software,vpn,20.0,46.39
16293,usa,2020,phishing,it,51.41,502006.5,zero day,antivirus,20.0,256.62
16294,uk,2023,phishing,retail,28.54,502006.5,weak passwords,antivirus,20.0,6.23
16295,russia,2020,man-in-the-middle,retail,74.11,502006.5,zero day,antivirus,72.0,55.2
16296,china,2021,man-in-the-middle,banking,85.26,812101.0,social engineering,vpn,52.0,55.2
16297,uk,2020,phishing,telecommunications,43.72,402744.0,zero day,ai based detection,65.0,18.15
16298,japan,2015,malware,healthcare,77.01,182338.0,social engineering,firewall,72.0,4.95
16299,germany,2017,man-in-the-middle,banking,51.41,587213.0,weak passwords,ai based detection,32.0,157.56
16300,france,2024,phishing,government,86.65,419571.0,zero day,ai based detection,72.0,42.23
16301,germany,2020,phishing,it,51.41,772541.0,unpatched software,antivirus,37.0,70.53
16302,uk,2020,sql injection,it,76.04,759384.0,unpatched software,ai based detection,22.0,14.14
16303,china,2015,ransomware,government,57.59,887037.0,zero day,vpn,39.0,33.83
16304,china,2016,ransomware,it,51.41,788555.0,unpatched software,encryption,43.0,26.31
16305,india,2020,man-in-the-middle,telecommunications,57.89,438137.0,zero day,vpn,18.0,55.2
16306,australia,2024,ransomware,government,51.41,414907.0,zero day,antivirus,42.0,55.2
16307,australia,2021,ransomware,telecommunications,88.2,576302.0,zero day,antivirus,2.0,5.47
16308,usa,2020,ddos,it,96.08,156275.0,social engineering,encryption,24.0,3270.67
16309,japan,2024,ddos,government,51.41,502006.5,unpatched software,vpn,42.0,55.2
16310,brazil,2022,phishing,it,92.58,176386.0,unpatched software,vpn,63.0,55.2
16311,japan,2015,phishing,healthcare,27.92,775042.0,zero day,encryption,37.0,3.83
16312,germany,2016,phishing,telecommunications,46.28,502006.5,unpatched software,encryption,3.0,2.73
16313,france,2016,ransomware,education,25.55,883536.0,unpatched software,ai based detection,66.0,63.23
16314,france,2020,phishing,banking,15.14,276541.0,social engineering,ai based detection,16.0,70.92
16315,india,2024,phishing,telecommunications,50.64,502006.5,unpatched software,antivirus,37.0,362.22
16316,germany,2022,phishing,it,51.41,397919.0,social engineering,encryption,22.0,99.42
16317,russia,2021,phishing,telecommunications,51.41,502006.5,zero day,vpn,18.0,43.61
16318,germany,2020,phishing,government,51.41,318648.0,zero day,encryption,1.0,55.2
16319,usa,2022,ransomware,education,14.5,353297.0,weak passwords,vpn,58.0,517.25
16320,russia,2017,phishing,it,20.85,484009.0,zero day,firewall,41.0,219.92
16321,russia,2024,malware,it,49.51,872411.0,zero day,antivirus,5.0,8.42
16322,germany,2023,man-in-the-middle,it,51.41,876348.0,social engineering,encryption,37.0,57.8
16323,uk,2021,sql injection,government,13.76,11310.0,weak passwords,antivirus,71.0,55.2
16324,uk,2018,sql injection,retail,72.21,597358.0,zero day,vpn,30.0,32.51
16325,india,2022,sql injection,it,91.91,180456.0,unpatched software,vpn,8.0,173.78
16326,russia,2021,ddos,it,79.06,368255.0,social engineering,encryption,17.0,190.11
16327,india,2020,malware,education,7.17,268414.0,zero day,encryption,9.0,55.2
16328,china,2019,sql injection,healthcare,79.28,891504.0,zero day,firewall,63.0,55.2
16329,japan,2023,phishing,healthcare,51.41,3395.0,weak passwords,antivirus,58.0,517.2
16330,china,2023,ransomware,education,45.88,164890.0,weak passwords,antivirus,20.0,221.24
16331,india,2020,sql injection,banking,89.8,895388.0,social engineering,ai based detection,54.0,60.86
16332,india,2020,sql injection,telecommunications,17.47,436517.0,weak passwords,antivirus,37.0,4.74
16333,india,2018,phishing,it,70.85,502006.5,zero day,firewall,37.0,91.47
16334,russia,2024,man-in-the-middle,banking,51.41,414192.0,weak passwords,firewall,34.0,155.57
16335,uk,2021,phishing,retail,39.73,80069.0,unpatched software,antivirus,8.0,0.88
16336,uk,2016,phishing,it,1.28,604185.0,zero day,firewall,37.0,55.2
16337,uk,2021,sql injection,it,83.99,502006.5,weak passwords,antivirus,18.0,55.2
16338,france,2019,phishing,it,51.41,945154.0,social engineering,ai based detection,63.0,39.2
16339,germany,2023,malware,retail,62.43,918454.0,zero day,firewall,15.0,14.0
16340,australia,2020,phishing,retail,51.41,450205.0,zero day,firewall,32.0,43.72
16341,japan,2016,phishing,telecommunications,87.52,476001.0,social engineering,vpn,58.0,440.53
16342,uk,2018,phishing,it,65.88,503520.0,zero day,encryption,48.0,27.95
16343,usa,2024,phishing,it,86.29,502006.5,zero day,antivirus,37.0,232.38
16344,uk,2020,malware,education,51.41,580609.0,weak passwords,ai based detection,37.0,16.29
16345,uk,2022,phishing,banking,18.45,848022.0,social engineering,antivirus,10.0,170.4
16346,brazil,2022,phishing,education,75.42,761590.0,unpatched software,ai based detection,45.0,54.73
16347,brazil,2022,ddos,education,17.68,502006.5,social engineering,antivirus,47.0,92.58
16348,uk,2021,man-in-the-middle,education,27.95,625370.0,zero day,firewall,24.0,55.19
16349,uk,2018,phishing,healthcare,60.01,193378.0,unpatched software,encryption,32.0,142.94
16350,brazil,2020,ddos,healthcare,92.34,375691.0,zero day,encryption,21.0,1.16
16351,australia,2020,phishing,banking,51.41,526324.0,unpatched software,antivirus,39.0,6.49
16352,france,2020,malware,healthcare,76.42,50468.0,social engineering,ai based detection,64.0,102.07
16353,india,2020,phishing,it,3.2,922656.0,zero day,ai based detection,37.0,55.2
16354,india,2018,ransomware,retail,51.41,498457.0,weak passwords,vpn,37.0,24.63
16355,uk,2023,phishing,it,89.04,351850.0,social engineering,encryption,21.0,50.32
16356,uk,2020,ddos,retail,76.95,391982.0,social engineering,firewall,37.0,15.76
16357,australia,2021,malware,telecommunications,51.66,247243.0,zero day,antivirus,37.0,55.2
16358,uk,2020,phishing,banking,51.41,257190.0,unpatched software,encryption,14.0,55.2
16359,australia,2015,sql injection,retail,89.77,804658.0,unpatched software,ai based detection,23.0,55.2
16360,russia,2020,phishing,education,75.95,758032.0,zero day,antivirus,30.0,12.97
16361,france,2017,ddos,telecommunications,13.31,381948.0,weak passwords,antivirus,46.0,55.2
16362,australia,2018,ddos,retail,51.41,152435.0,weak passwords,firewall,26.0,18.23
16363,brazil,2020,ransomware,banking,99.9,429566.0,zero day,antivirus,54.0,1.44
16364,germany,2022,phishing,healthcare,61.99,496292.0,zero day,ai based detection,21.0,55.2
16365,germany,2023,man-in-the-middle,healthcare,51.41,943724.0,unpatched software,ai based detection,58.0,221.87
16366,japan,2020,man-in-the-middle,government,39.87,502006.5,weak passwords,ai based detection,40.0,250.88
16367,usa,2017,phishing,it,48.96,502006.5,zero day,antivirus,37.0,14.79
16368,india,2020,ransomware,healthcare,70.67,502006.5,social engineering,firewall,39.0,8.35
16369,japan,2022,phishing,retail,26.7,50007.0,weak passwords,antivirus,19.0,56.4
16370,australia,2023,malware,retail,51.41,307143.0,zero day,vpn,37.0,189.41
16371,russia,2023,ddos,it,22.71,502006.5,unpatched software,firewall,27.0,55.2
16372,usa,2024,phishing,retail,94.83,502006.5,zero day,antivirus,71.0,84.26
16373,uk,2020,ddos,retail,37.81,502006.5,zero day,antivirus,55.0,302.7
16374,uk,2018,phishing,healthcare,51.41,502006.5,unpatched software,antivirus,60.0,18.02
16375,russia,2022,ransomware,telecommunications,89.33,776295.0,zero day,vpn,37.0,55.2
16376,usa,2016,phishing,banking,38.58,502006.5,weak passwords,encryption,37.0,55.2
16377,uk,2022,man-in-the-middle,it,75.51,298887.0,zero day,vpn,44.0,40.64
16378,uk,2015,ransomware,government,56.3,59582.0,unpatched software,vpn,56.0,8.16
16379,uk,2024,ransomware,it,6.67,553944.0,zero day,encryption,64.0,20.0
16380,russia,2020,ransomware,it,80.29,507258.0,social engineering,antivirus,37.0,13.37
16381,russia,2024,phishing,it,94.6,82500.0,zero day,ai based detection,28.0,93.29
16382,uk,2021,phishing,retail,27.54,502006.5,zero day,antivirus,57.0,14.24
16383,uk,2020,ransomware,banking,97.48,647303.0,zero day,antivirus,37.0,81.99
16384,usa,2016,phishing,it,68.23,877998.0,weak passwords,antivirus,37.0,18.1
16385,india,2020,sql injection,government,56.84,631420.0,unpatched software,antivirus,68.0,2.26
16386,uk,2023,phishing,telecommunications,84.79,502006.5,zero day,ai based detection,64.0,86.48
16387,uk,2021,ransomware,banking,4.22,65148.0,weak passwords,antivirus,15.0,68.22
16388,russia,2020,phishing,telecommunications,58.73,345623.0,zero day,ai based detection,67.0,118.7
16389,china,2015,phishing,it,60.43,962452.0,zero day,encryption,34.0,19.9
16390,germany,2024,phishing,it,2.85,502006.5,weak passwords,ai based detection,10.0,55.2
16391,uk,2016,sql injection,education,51.41,712306.0,social engineering,firewall,29.0,99.7
16392,uk,2016,ransomware,telecommunications,11.83,365116.0,zero day,antivirus,66.0,533.0
16393,usa,2020,phishing,banking,64.96,485702.0,zero day,firewall,37.0,55.52
16394,usa,2023,sql injection,it,19.37,49480.0,social engineering,encryption,17.0,55.2
16395,australia,2019,phishing,education,46.64,502006.5,unpatched software,antivirus,44.0,33.7
16396,usa,2018,phishing,banking,31.54,513005.0,social engineering,vpn,37.0,5.39
16397,germany,2019,malware,retail,51.41,360381.0,zero day,vpn,62.0,233.02
16398,brazil,2020,ddos,banking,51.41,649383.0,weak passwords,encryption,59.0,55.2
16399,germany,2020,sql injection,banking,89.74,502006.5,social engineering,encryption,63.0,158.56
16400,usa,2023,malware,it,54.29,443715.0,social engineering,antivirus,54.0,41.56
16401,australia,2020,ddos,telecommunications,51.41,683733.0,zero day,vpn,65.0,133.7
16402,brazil,2019,phishing,it,42.16,400214.0,zero day,firewall,37.0,208.65
16403,brazil,2020,ransomware,it,51.41,813472.0,zero day,vpn,17.0,620.32
16404,france,2021,ransomware,banking,27.1,199832.0,weak passwords,antivirus,54.0,240.52
16405,india,2020,malware,it,22.04,210495.0,weak passwords,antivirus,18.0,60.08
16406,uk,2023,man-in-the-middle,it,49.53,923445.0,unpatched software,vpn,42.0,7.67
16407,uk,2019,phishing,it,1.72,407485.0,zero day,antivirus,22.0,55.2
16408,uk,2020,man-in-the-middle,it,97.39,517452.0,zero day,firewall,9.0,80.23
16409,germany,2020,ransomware,retail,68.73,502006.5,zero day,antivirus,43.0,158.15
16410,usa,2019,malware,it,57.85,502006.5,weak passwords,antivirus,36.0,416.06
16411,germany,2017,phishing,healthcare,6.58,592988.0,zero day,vpn,43.0,55.2
