Country,Year,Attack Type,Target Industry,Financial Loss (in Million $),Number of Affected Users,Attack Source,Security Vulnerability Type,Defense Mechanism Used,Incident Resolution Time (in Hours),Data Breach In GB
GermanY,,,IT,,952299.0,UnKNowN!,WEak PasSWords@,VPN,33.0,23.27
InDia,,PhIShing,EduCAtion,,982450.0,UnknowN,Weak PaSswords@,,32.0,35.48
AUsTralia,2024.0,DDoS,RetAil,28.16,, UNknOwn  , WeaK PASswordS#,FireWalL,30.0,2971.8
 USA  ,2019.0,MaN-IN-thE-Middle, GoVernment  ,17.59,43140.0,,SoCiaL EngiNeering#,,28.0,908.36
  UK,2018.0,,EduCatIOn,51.59,935465.0,NATiON-State,,AI-BaseD DETeCtion,28.0,65.9
GermAnY,2018.0, DDOS ,BankiNg,81.34,52799.0,INSIDeR,ZEro-dAy !,AI-bAsed DetectIon,38.0,21.93
ChiNa,2020.0,SQL INjEcTIOn,TeleCOmmunicAtIOns,70.02,688312.0,Nation-state,UNpatChed SOFTwAre,,48.0,65.08
FRANce,,Phishing, GoVERnment ,,219162.0,Hacker GroUp,UnpAtcHEd Software,,23.0,
  UK,2017.0,Man-in-thE-MiDDLE,TelecOmmunications!,60.01,,HacKeR Group,,EnCryptioN,26.0,8.46
 FraNce,2016.0,,BAnkiNG,62.73,,NaTion-stAte,Zero-Day,FiRewaLL,17.0,61.56
AustRALiA,2022.0,SQL InJeCtion,TelEcommuniCATions,56.2,571454.0,InsidEr,WEak PasSWords,,42.0,396.87
RUssIa,,DDoS!,GovErnMent,72.59,787260.0,,Weak PAsSWoRdS#, FIrewall ,15.0,3.67
UK@,2018.0,,HealthcaRe,19.79,805745.0,,Weak PassWORdS,,,188.65
,,,TeLecommuniCAtioNs,,377194.0,UnknoWn,WeaK PAssWorDs,FirEwAlL,,429.32
,2023.0,  MalWare @,,37.07,,InsideR,UnpaTched SOftwArE,  AntivIrus  !,35.0,23.55
,,SQL InjectION,GovErnment,65.85,252025.0,HACKer Group,ZerO-day,,60.0,
,2015.0,RanSomwaRe,EduCAtIoN,96.03,898251.0,HaCker GroUp,,AnTIvIruS,70.0,19.38
 BrazIl  ,2015.0,,BaNKing,74.27,551388.0,Unknown,,ENCryPTIon,,105.81
,2017.0,DDoS,BAnkInG,,538245.0,,Weak PAsswordS,AI-baseD DEtecTIoN,18.0,34.46
,2021.0,MalWAre,TElEcomMunicAtionS,50.97,838461.0,  NAtiOn-staTe ,Zero-dAy,AI-based DEtectIon,6.0,
,2020.0,SQL Injection,BAnkInG,,912770.0,UNknown, ZERo-DaY, AI-baSEd DeTECTiON  ,67.0,
INdia,2021.0,  DDoS,EDUCaTiON,95.95,,NaTioN-statE  ,ZeRo-dAY,AI-bAsEd DetEcTIoN,12.0,
UK,,MAN-iN-thE-MiddlE,,,416522.0,, SOCiAl ENgiNEeriNg  , VPN ,,195.04
UK,2021.0,DDoS,IT,,530341.0,,SOciAL EnGINEering,VPN,40.0,49.57
,2022.0,RANsomwaRe ,,73.1,346939.0, INsideR ,  Weak PasSWords  ,VPN,21.0,7.1
RussiA,2021.0,,  BankiNG@,78.45,56333.0,Unknown,SoCiAl EnGineeRING,VPN,8.0,99.96
Germany,2018.0,,IT,27.51,,,WEak PaSSwordS,VPN,32.0,102.82
Japan,,,BaNking,18.01,,  UNknown ,WEak PaSswoRdS#,VPN,57.0,39.45
InDIa,2020.0,MaLwarE,Healthcare,20.62,54206.0,InsidER,UnPatchEd SoFTWare,VPN,,898.61
INdia#,2018.0,,,47.5,,UnKNOWn,UNPAtchEd SoFTWAre, AntIvIrUs ,69.0,5.23
AuStRALIa,2021.0,MaN-in-the-MIDdle,HeAlThcArE,17.62,687020.0,UNknOWn,WEaK PAsswOrDS,AntIviRUs,48.0,1.96
USA,, RansomwARe ,EduCAtIOn,77.09,550317.0,  InsIder  ,WEaK PassWords,EncrYpTIoN,63.0,18.24
GErmany,2021.0,PhishiNG,BankINg@,48.0,,  NatiOn-state  ,,EnCrYpTion,24.0,158.48
ChINA,2020.0,,HealtHcare,11.55,388591.0,UnknoWn@,Zero-DaY,AnTiVirus,68.0,11.2
,2023.0,DDoS,,2.27,438318.0,Hacker GrOup,UnpAtched SOfTwaRe,,39.0,
IndiA,2018.0,, EduCAtIon ,1.71,63389.0,  INSiDEr,UnPAtcheD SOftwARe,VPN ,,227.36
,2015.0,,,95.66,377602.0,Nation-StatE,,FIReWAll#,15.0,109.27
FranCE,2021.0,SQL InjEcTiON,GovErNmeNt,42.75,,Unknown,UnPatChed SoftWare,ENcrYption,61.0,96.12
UK,2022.0,Malware,,38.76,361529.0,Nation-state,SocIaL EnginEering,FiREwall@,67.0,
,2019.0,MAN-IN-the-MIddle,ReTAIl,,677755.0,,,FiRewall,52.0,28.85
UK,2022.0,,IT,66.25,303838.0,NaTion-stAte,Zero-daY,  AI-BAsEd DeTecTion  #,56.0,30.92
IndiA,2016.0,RansOMwarE,,93.74,339815.0,InSideR,WeAk PasswORDs @,FirEwaLl,58.0,183.95
Russia,2020.0,RANsOmwaRe,BankIng,13.66,820140.0,InSider,SOciAl ENgiNeEriNg,VPN,63.0,
,2015.0,RaNsOmwaRe,IT,,, Insider  ,ZeRo-day,,61.0,
BRaZiL,2022.0,Man-iN-the-MIdDLe,,40.94,,UNknown,Zero-day,AI-based DeteCtION,44.0,28.5
JapaN,2023.0,SQL INjecTioN,GOVernmeNt@,,772948.0,UnkNowN,Zero-Day,VPN,43.0,220.59
BrAzil,2015.0, PhisHinG,  HeAlthCaRe  ,,794914.0,INsidEr,,FIrewall,34.0,80.11
BraZIl,2019.0,,TeleCOmmunICations,36.98,198563.0,,SOCIaL EngiNeerInG,FIReWAll,24.0,197.54
GerMANy,2022.0,DDOS,,,32346.0,NatIoN-statE,UNPatcHed SofTwAre,AI-baseD DetECTiON,38.0,2.65
,2015.0,PHIshIng,,18.39,541829.0,,Zero-DAy,AnTIVIrus!,33.0,87.64
RUSsiA,2024.0,PhIshiNG,,21.22,446028.0,,,VPN ,37.0,
 FraNce  ,2022.0,MalwaRE ,  EDucatIon ,13.06,759625.0, InSIDer ,SoCiAL EngIneerinG,EncryPtion,14.0,7.2
 BRaZil  #,2017.0,PhiShing,,3.18,520654.0,NatioN-stAte,SocIAl ENgiNeering,,,198.96
USA,2023.0,DDOS#,IT,,248383.0,Insider,SocIal EnginEeRing,,55.0,46.19
China,2017.0, MaN-IN-tHE-MIddlE@,Banking,62.39,855974.0,UnKNown,SoCiaL EnGineERing,VPN,44.0,
CHiNa,2020.0,, GovernMEnt,84.23,50842.0,Insider ,ZeRO-day ,,59.0,2.08
GeRmany,2015.0,Man-In-the-MiddlE,,81.5,,NatioN-sTatE,Weak PaSSWorDs,EncrypTIon,59.0,
,2022.0,Man-In-ThE-MIdDle,TelECOmmUNiCatioNs,0.54,419912.0, NatIOn-sTate,ZerO-day  ,  AI-Based Detection ,40.0,30.23
JapAn,2023.0,,BaNking,65.8,,NATIoN-statE,,  VPN ,67.0,
ChiNA,2024.0,SQL InjeCtion,BankinG,58.32,777684.0,UnkNown,ZeRo-dAY,VPN,31.0,24.77
 UK  ,2018.0, MaLwAre,HeaLThcArE!,27.61,375245.0,HackeR GROUP,,,20.0,82.78
CHina,2023.0,Man-in-the-MiddLe,IT,22.96,656090.0,InSider,UnpAtCHEd SOftwaRe,ENcryption,27.0,258.84
AUstrALia  ,2016.0,Man-In-tHE-MIdDLe@,IT#,,653967.0,UnkNown,,EncRyPtion,21.0,722.67
INDia  @,2022.0,SQL INjecTIOn#,,0.83,977791.0,UNKNowN,WeAk PassWords,,15.0,460.74
 UK  ,, DDoS,TelEcOmmuNicatIonS,81.91,397687.0,,,VPN,65.0,12.83
FRancE,2017.0,Malware,BanKing,40.87,719537.0,NAtion-state,ZerO-day,AI-Based DetEcTIon,,297.45
BrAZil,2017.0,DDoS,TelecommUnicaTions,,724790.0,HaCKer Group,UnPAtched SOfTWare#,,64.0,98.19
FRAncE@,,PhIsHiNg,IT,33.33,51723.0,HAcker GRoup,WeAk PAsSwORDS,EncrYPtIon,23.0,20.45
India,2023.0,RANsomwAre,Healthcare,18.26,312340.0,Nation-statE,  ZerO-Day,,35.0,39.73
India@,2016.0,MaN-in-the-MIddlE,Banking!,15.28,995025.0,,WeAK PaSsWorDS,,52.0,
FrancE,2024.0,,TeLeCOmmunicatiONs,48.77,336356.0, HackeR Group ,UnPatCHed SofTWare,ENcRyPtIoN,2.0,57.72
,2017.0,  RaNsomWarE ,,48.93,886212.0,UnKNowN ,WeAk PASSwords,,,18.27
 JaPan @,2016.0,RansomwarE,HEAlThcAre,37.23,209358.0,NAtiOn-sTate,SOCIAl Engineering@,FiREWaLL,25.0,11.68
RuSsiA,2022.0,DDoS,EduCAtioN ,,495616.0,Nation-staTe@,UNPaTched SoftWarE  ,,,
,2021.0,SQL InjeCtiOn#,GovErnMent,,224311.0,INsidEr,  ZEro-DAy  ,FIRewaLL,57.0,140.2
JapaN,2022.0,DDoS,IT,,,INsiDeR,WeaK PasswoRds,,,41.21
GeRmAny,2024.0,RAnsomware ,GOveRNmEnT!,,301972.0,UnknowN,Weak PASSWOrds,,33.0,424.74
GeRmaNy,,PHishing,TeLecoMmuNicatioNs,47.04,124250.0,InsiDeR,ZeRo-day,AI-BASed DetecTIOn,64.0,36.94
USA,2018.0,Man-in-thE-MIdDle,HeaLThcArE,22.61,733934.0,,ZERo-day,,,34.67
BRazil,2022.0,MaLwAre,IT,19.26,377446.0,UNKNOwn,,,12.0,147.04
,2021.0,SQL InjeCtion,,98.57,430792.0,InsIdEr,Weak PassWoRds,ANtivirus,9.0,44.76
  UK  ,2015.0,MALWare,IT,96.79,825881.0,UNknown,ZEro-Day,AI-baSed DEtEction,,62.0
USA,2020.0,  MAlWaRe  #,TelecOmmunICatioNs,27.16,,NatION-sTATE#,UNPaTched SOftWaRe,AI-baseD DetEcTion,42.0,1.25
Germany,,RansomwAre,HeAlTHCare,16.64,912847.0,Unknown,Weak PassWOrDS,AntIVIrus@,27.0,55.98
UK,,MAlware,BANkinG,41.34,82287.0,  UNKnOwn,,ENcrypTION,61.0,3.52
USA,2020.0,,EDucAtion,44.85,527938.0,NatiON-STate,,EncrypTion#,1.0,
UK,2022.0,DDoS  ,TeleComMUnIcatioNs,50.9,645154.0,InsIdEr,WeAk PASsWORds@,,,7.37
 IndIa,2018.0, RansOMWaRe,,26.01,732636.0,,ZerO-day,VPN,3.0,11.43
Russia @,2015.0,DDoS,ReTail,69.61,26321.0,Nation-StAte,ZERO-DAy, Encryption ,11.0,23.97
GeRmany,2023.0,RaNsoMwaRe,BAnKInG,52.88,982507.0,,UnpatcHeD SOfTware,ENcRYptION,39.0,26.32
RUssIa,2019.0,MalWare,RetAiL,,367712.0,Nation-stAte,WEak Passwords,FiREWalL,13.0,
,2015.0,DDoS,TelecommuniCatioNS,83.28,236346.0,,UNpaTched SofTwaRe,AI-based DeTectiON,,76.22
  AuSTralIa#,2018.0,,ReTaIl,51.46,287089.0,,  WeaK PAsSworDs @, EnCrYptION ,8.0,
BrAzil,2024.0,MaLwaRE!,  HeaLThcArE  ,50.71,964191.0,UNkNOwN,  WEak PASsWords!,,,61.86
ChiNA,2016.0, SQL InJectioN ,HeALThCarE,,55913.0,Nation-stAtE@,SOciAl EnginEeRiNg,Antivirus,70.0,88.0
,2015.0, PHIshIng  ,,98.29,850600.0,InsIder,ZEro-day#,EncrYptIon#,17.0,
FranCe,2024.0,PhisHIng,REtail,45.57,201137.0,,ZeRo-Day,ANtIVIrus,25.0,49.83
,,MalWare,,1.68,859708.0, NaTion-State ,WEaK PasSwordS,EncrYptiON,10.0,72.64
RUSSia,2016.0,PHIshINg,GoveRNMent,,863777.0,InSidEr,ZErO-daY#,,,171.9
 JapAN  ,2024.0,SQL InjECtion,BaNkIng,67.37,,Unknown,  SocIAL Engineering  ,AnTiVIrus,32.0,5.14
RUsSiA,2022.0,,,69.09,474183.0,InSIdeR,Weak PasSWoRds,ANtiviRus,,37.85
Brazil,2018.0,, REtail  ,36.63,829742.0,InsiDEr,UNpatcheD SOFtwaRE@,FIrEwaLl  #,57.0,524.53
USA,2021.0,DDoS,TelECOmmUNICaTionS,99.81,460842.0,Unknown,WEak PasswOrDs,,59.0,457.14
AuStralia,2022.0,MalwarE,RetAil,47.33,,UnkNown,,FiRewAll,51.0,195.67
 BraZil  ,2017.0,DDOS,,72.48,860625.0,UNknown,ZeRo-Day,FireWAlL  ,4.0,122.15
UK,2019.0,SQL InJeCtIon#,HealthCare,,263110.0,,,,6.0,653.24
,2020.0,Man-in-tHE-MiDDle,,13.61,,NatIOn-StaTe,,,,969.49
USA,2021.0,PHiShiNg, EdUcatiOn,6.01,,InSideR,,FirEwaLl!,6.0,
,,SQL InjectIoN,REtail,1.32,,NatioN-stAte,  WeaK PASSwOrds  #,,1.0,12.75
AUSTraliA,2017.0,  MAn-in-The-MiDDle  ,RETAil@,47.97,,,UNpatcHeD SoFtWarE!,AI-BasEd DETeCtion@,64.0,36.4
GErmanY,2021.0,RaNsoMwarE@,RetAiL,,589744.0,,WeAK PAsSwords,VPN,,
 RussIA,2018.0,MalwaRe,GOvernmeNt,59.01,309230.0, HAcKEr GRouP  ,Social ENgiNEEriNG,EncryPtioN,,
CHIna,2024.0,,TelecoMmunicatIonS,,4913.0,HAcKER Group, WeaK PAssWordS  ,,,26.96
BRaZil  ,2020.0,SQL Injection,,50.41,350295.0,InSIder@,,ENcRyptiOn,5.0,6.56
USA,2020.0,DDoS,BAnkinG,60.2,998937.0,NATiOn-sTATe, ZErO-DAY  , ANtivirus,19.0,65.83
Brazil,2018.0,MaLwarE,TElecommunicaTiOns,96.22,445546.0,NATiOn-state,,FIRewALL,45.0,8.99
BRazIl,2023.0,SQL InjeCTion,HeAlthcarE,7.33,486146.0,Insider ,, FirewaLL ,12.0,46.38
UK,2016.0,,EducatioN,29.49,466333.0,Hacker GroUP,ZERo-DAY,,51.0,2.93
JApAn,2019.0,  PhiSHing  ,,73.35,,NaTiON-statE,Zero-dAy,EnCrypTion,,
UK,2020.0,DDoS  ,Retail,,971464.0,,Weak Passwords,FIReWall ,4.0,341.56
,2015.0,MaN-In-The-Middle,,76.97,,NAtiOn-statE!,WEaK PasSwords,,42.0,30.69
BraziL,2019.0,  RaNsomware ,TelecommuniCAtiOns!,87.41,,NatION-STaTe,UNpatchEd SoftwAre,EncryPTion,45.0,44.58
RussiA#,2023.0,DDOS,TeLecoMMuNicaTions ,57.25,115138.0,Unknown#,,EncrypTion,42.0,42.73
JapAN,2020.0,PhiShing,IT,99.57,786468.0,,SOcIal EngiNeerINg!,,42.0,71.62
INdia,2023.0,PhIsHiNG,RetAiL,5.11,,HACkEr GroUp, WeaK PASSWords,ANTiViruS,,51.56
USA,2017.0,MalWARe,,,,InsidEr,SOciaL EngIneEring,ENcrypTion,59.0,172.81
FrancE,2016.0,DDoS,EDucation,46.58,,HACker GRoUP,,  FiReWALl,38.0,347.08
BraziL,2017.0,RansomwarE,,54.78,469735.0,NaTioN-sTate,ZerO-day,EncRYPtiON,,
,2015.0,MaN-in-the-Middle,IT,,117231.0,,  UnpatcHEd SOfTwAre  ,AI-bAsed DEtection,,34.33
GeRMany@,2018.0, RANsomWArE ,HeaLtHcArE,,276925.0,UNknown,UnPatchEd SoftwarE,,,211.12
AusTralia@,2019.0,, TeleCOmMunicAtions,37.3,208089.0, UnKNOwn  ,ZEro-day,AntIvIrUs,33.0,6.47
AUstraLia,2016.0,,TElecommunicaTIOns,63.81,71720.0,HackEr GrouP  #,ZERo-day,EnCrYPtioN,21.0,2.84
RuSsiA,,RaNSOmware,TelecommunicatIOnS ,,236676.0,Nation-staTe!,SocIAl ENginEerIng,,67.0,76.67
,2024.0,Man-in-the-MIdDlE,  TeLeCommUniCatioNS  ,93.46,409281.0,  NatIOn-sTATE ,,AntiVIRuS,,114.95
  JAPan  ,2023.0,PHishIng,Banking,82.36,612815.0,InsideR,Zero-dAy,,12.0,18.48
Russia,2018.0,SQL InJectiON,  TeleCommuNicatioNS,11.32,153618.0,NatIon-sTate,  Weak PASSWoRds,VPN!,,
InDia,2023.0,,BANKIng,57.15,704230.0,NaTIOn-statE,Zero-daY,,,
ChiNA,2019.0,MalwArE,Retail,79.37,,HaCkeR Group@,WEAk PaSswOrDS,,,14.87
India#,,,HeAltHcare,4.08,,UnknoWn,  SOcial EngineerInG  !,EnCRYpTioN,11.0,
France,2022.0,RAnsOmwaRE,HEaLThcare,,, UNknowN  ,Weak PasswoRDs,,,
GeRmanY#,2018.0,,IT,48.96,323027.0, UnKNown,UnPatchED SoftWAre,EncrYpTion,49.0,36.66
ChInA!,,Man-in-tHe-MIddlE,EDUcAtion,10.55,12970.0,UnKnown,Social EngineerInG,AntiViRUs,,14.04
InDia,2020.0,MAn-in-the-MidDlE,GovernmenT,50.19,659835.0,UnkNown,ZerO-Day,EncRYptIon,46.0,6.15
ChINA ,2023.0,,TELEcommUnicatIons#,66.92,336320.0,HAcKeR GrOup,Social ENGiNeeRInG,VPN,51.0,201.39
ChiNa,,Man-iN-the-Middle,,47.52,83617.0,  InSIdEr,UnpatCheD SoftwAre,,64.0,25.03
,2018.0,MaLwaRE,BAnking,87.13,99178.0, NATion-state  ,UNpaTChEd SoFTware,AntIvirUs#,27.0,72.43
BRaZIl,,RaNSomwaRe,Education,,, NaTiON-state ,Unpatched SoftWARe,EncrYPtioN,41.0,
RussIa#,2017.0, Phishing  ,TeLeCoMmunicatioNS,2.22,620350.0,,,FireWALl,45.0,17.94
USA,2020.0,DDoS,HeAlThcaRe,,846602.0,InsIder,Weak PAsswordS@,FirEwall,31.0,
,2017.0,MalWAre,GovernmEnt,61.02,, NatiOn-staTe,UNPatcHed SofTwAre,ANtivirus,48.0,2646.27
Japan,2019.0,Man-in-the-MiddlE#,,,549197.0,HAcker GRouP!,SociAL Engineering,AntiViRus,59.0,2.82
,2023.0,  Phishing!,  IT,15.49,138639.0, HaCker GrouP  ,UnpAtcheD SOftWARe,VPN,14.0,40.38
,,Man-In-the-MIddlE,HealthCAre,,833819.0,InSider,,AntiviRuS,14.0,101.33
IndIA,2022.0,Malware,RetaIL,13.88,,InsiDer,ZerO-day,AI-baseD DeTeCtIoN!,71.0,21.67
UK,2017.0,MalwaRE,,11.25,636273.0,Insider@,ZERo-day,AntivirUS,30.0,
,2017.0,MaN-in-thE-MidDLE,BAnKing,66.53,,InsiDer,SoCiAl ENgINeeriNg ,FireWall,43.0,14.88
  AustraLIa  ,2015.0,PhiShinG,,89.41,488342.0,HaCkEr GRoup, UNPaTchEd SOFtwaRe  ,FiREwall,23.0,68.77
FrAnce,2019.0,PhishinG,IT,55.31,526220.0,NatiOn-state,SociaL ENgINeErING, AI-bAsEd DeTecTIOn ,2.0,24.95
USA,2023.0,DDOS,EDUcation,90.38,,InsIDer,Weak PaSSwords!,,23.0,340.07
  Brazil,2024.0,DDOS,ReTaIl,25.17,658226.0,INsiDer,  WEAk PasSwordS  ,VPN!,52.0,19.8
  INdia ,2019.0,  PhisHiNg  ,EDUcAtIon,,344693.0,HackeR GrOup,,,19.0,32.21
,2016.0,PhIshing ,EducAtion@,37.57,380995.0,UNknOwn,Weak PAssWoRds,  VPN ,60.0,225.55
 BRAZil  ,,,BankiNG,3.1,,InSidER!,  Social EngIneErINg,AI-Based DetECTion,,
BraZIl,2022.0,,EDucatioN,91.69,581034.0,INSIDer,Social EngINEering!,VPN,67.0,60.53
RussIa,2019.0,RANSomWare,  ReTail,19.97,,,SocIaL EngineeriNG,EnCRYPtION,14.0,3.55
,,PhiSHing,IT,28.78,793783.0,InSiDer,SoCiAl EnGineering,FIrewAll,17.0,
,2023.0, SQL INjecTIon  @,IT,,620822.0,UnkNowN, ZeRo-day,,21.0,96.85
Russia,2022.0, RaNsOmwARe  ,HeaLthCare,16.6,715102.0,,,AnTIvirus,2.0,12.35
RUssiA@,,MAn-in-THe-MiDdle,,44.32,634390.0,UnknowN , Zero-daY ,ANtiVirus,54.0,
Japan#,2021.0,RaNSomWaRe,GOVernment,10.34,791473.0,NAtion-sTAtE#,WEak PasSWorDS,FIrewall,58.0,114.39
,2022.0,PhisHiNG,,41.81,,UNknOwn,WEAk PASSworDS@,,,22.9
 GErmAny  ,2016.0,MAlWARE,BankInG,,517353.0,,SOciaL EnGIneering,AntIvirus,41.0,187.59
JapaN,2015.0,MAlWare,TeLEcOMmuniCAtions,40.38,118734.0,InSIdEr,UnPaTcHeD SoFTWarE ,AI-Based DEtectIon,,75.45
INDiA,,Man-In-the-MIDdLe,EducAtion,,963367.0,InsideR,Zero-Day ,ENCRyPtion,50.0,104.95
AustRaliA,2021.0,,,22.51,71557.0,  InsIDer ,SoCIAl EngineerinG,AntiviruS  ,47.0,351.23
,2017.0,RAnSoMware,GOvErNmENt,58.18,824704.0, HAcker GROup  ,ZERO-day,AntIvIRuS,30.0,88.21
 GeRmany  ,2023.0,MAN-iN-the-Middle,,92.48,1326.0,NatIOn-State,SOCiaL EnGineerinG, AnTIVirus,11.0,549.09
UK,2015.0,PhIshIng,BAnkIng!,51.38,630931.0,INsiDeR,ZerO-daY,AI-bASED DeTectiON,48.0,214.2
GerMaNY,2016.0,PhishInG ,GoVernMeNT,,395731.0,INSider, UNpaTched SoftwaRE  ,AI-Based DeTectioN,,24.9
AUsTRalia,,RANsOmware,GoVernMENt,27.38,918816.0,UnknowN,WEak PASsWorDS,  AI-bAsED DEteCtion ,,379.83
,2021.0, MalwaRe ,HEALthCARe,74.61,357205.0,NatIoN-stAtE@,Weak PASswords,AntIViruS,21.0,81.11
UK  ,2019.0,SQL InjectIon ,IT,78.84,464960.0,UNkNown,,EncryPTION,24.0,30.2
USA,2019.0,RANSOMwAre,TeLecommunicatiOnS,,51619.0,InsIdeR,UnpatchEd SoftWarE!,VPN,3.0,82.9
 BrAZil,2017.0,PhiShing#, IT,81.04,850794.0,UnkNoWn,SocIAL EnginEEriNg,ANtivIRUS,69.0,289.6
FraNCe,,Man-in-the-Middle,BanKIng,27.2,559841.0,NAtIon-statE,UnpAtchEd Software, VPN  ,22.0,108.05
CHina,2018.0,DDOS,Healthcare,,685136.0,,WEak PassWOrds  ,AntIviruS!,62.0,
BRazil,2016.0,Malware,  EducaTion,83.93,102797.0,UnKnoWN,WeAk PAsswords,,17.0,
FraNcE,2022.0,RaNsOmwarE,HEaLthCare#,40.36,439046.0,,Social EngiNeERInG,  VPN ,42.0,119.67
USA,2019.0,SQL InjectiON,TElecOmmuNIcations,57.4,51312.0,InsideR,SocIal EnGiNeering, AI-Based DeTection!,26.0,11.72
 BRAZil  ,2022.0,Ransomware,Retail,1.42,510870.0,UnKNown,UnPaTCHED SoFTwarE,AI-baSeD DetECtiOn,35.0,
Russia,,,GovERnmenT,,348118.0,HacKEr Group,ZErO-day,VPN,42.0,60.79
AuSTralia,2016.0,,HeAlThcare,,509930.0,UnKNoWn,SoCiAl ENGineerIng,AI-baSed DeTectioN  ,68.0,
 UK ,2016.0,RanSomwArE,IT,58.99,822380.0,Hacker GROUp,ZEro-daY,,26.0,
GermAnY!,2022.0,SQL InjecTiON,BAnkInG,52.91,,UNKnOWn,,AnTiViRus,19.0,70.41
AustralIa,,,TElecommUNiCATIoNS,20.95,341111.0,InsIdER#,  WeAk PasswOrDs  !,VPN,14.0,65.4
FrANcE,2018.0,, GoveRNMeNT ,2.79,443730.0,HAckER Group,Weak PassWoRds,AntIvIRus,39.0,160.88
JapaN,2017.0,  DDOS  ,IT,27.76,824968.0,,WEak PasSworDs,EncryPtioN,15.0,15.06
JApaN,2016.0,,ReTAil,58.77,172346.0,NatioN-state,SOcIal ENgiNeeRiNG#,AI-baSEd DetecTIOn  ,51.0,
GermanY,2022.0,DDoS,TeleCommunicatIons,51.95,919855.0,,WEAk PAsSwordS,ANtiviRUS  ,56.0,2.53
Germany  ,2021.0,MAn-in-THE-MiDdLe,,90.57,,HackEr GrOUp,  SOciAL EnGineering ,AI-baSEd DetecTiOn,5.0,484.5
 FrANCe ,,PHisHING,,39.15,,  UnKNown ,,AntivirUS,,51.02
UK!,2018.0,PhiShing!,HeaLthcarE,,269142.0,Unknown ,UnpaTcHeD SOFtWARe,EncRypTion,72.0,
 InDia !,,PHiShing, RetAil,92.48,32067.0,InsideR,UNpATchEd SoFtware,Antivirus,19.0,
GerMany,2020.0,MalWAre,,,591314.0,HaCker GroUP,Weak PassWOrDS@,EnCryptiON,65.0,91.75
Germany,2019.0,SQL InjeCtIon,,91.72,149171.0,HAckeR GROuP,Zero-DAy,,,125.38
BrAzil,,,IT,13.52,535205.0, HaCker GrOup  ,SOcIal Engineering,AI-Based Detection,53.0,
GeRmany,2022.0,RansomWare,EduCatiON,87.93,471889.0,NAtiON-staTe,Zero-Day,Antivirus,,33.34
,2019.0, PhishIng ,HealThcarE,52.18,869751.0,INsIDEr,ZerO-day, Firewall ,12.0,257.8
RuSSIa,2017.0,DDoS,EducatiOn,50.42,,NAtIon-StAte,WeaK Passwords#,FIRewALl,18.0,10.73
,2017.0,RAnsoMwaRE,HealThcARe!,,433987.0,UnKnOwn,Zero-Day ,AI-baSeD DetecTion,21.0,54.16
UK,2017.0,PhIshING,,1.54,31262.0,,SoCial EngiNeeriNG,FIrewaLL,56.0,191.32
AustrAlia  ,,MAlwaRe,,,824433.0,NaTioN-StaTe,UnpatChed SoFtwARE!,AI-bAsed DeTEctIon#,,242.87
,2023.0,Man-IN-thE-Middle,REtAiL,23.28,651963.0,,UnpaTched SoFTware#,AI-bAsEd DetecTIon,53.0,108.98
 FranCe ,2017.0,SQL InjECTioN,EducAtiOn@,,,UnkNown,,VPN,41.0,30.26
 USA,,MaLWarE ,,71.42,967411.0,HaCKer GrOup,SocIAL Engineering,AI-based DeTeCtion,,209.57
Japan#,2021.0,SQL InJecTioN,RetAil,64.81,263770.0,UnknoWN, SociAl ENgineeRIng ,,62.0,20.0
UK,2016.0,PHishinG  !,RetAiL,85.89,714670.0,HackeR Group,WEAk PasswORds,VPN#,32.0,
USA,2021.0,DDOS,TeLecomMunicAtIOns,47.84,498904.0,HacKEr Group  ,ZeRo-DAy,AnTivirus,,
,2024.0,PhishInG,EdUcatiOn !,,569539.0,UnknowN,,  EncrypTion,,5.42
,,Man-iN-ThE-MidDlE,RetaIL  ,,217938.0,NatIOn-sTate,Weak PaSSWoRDs,VPN,69.0,9.1
China,2022.0,RansOMwarE,REtAiL,,,UNKnoWn,ZERo-DAy,VPN,,58.29
India,2023.0,MaN-iN-the-MiddLe,RETAil,,424762.0,InSiDer,UnPAtcheD SoftwaRe  ,VPN,,67.34
,2019.0,MAn-in-ThE-MidDlE,  IT  #,42.34,130309.0,,ZEro-Day,AI-BAsed DeTeCTiON,56.0,1047.84
 INDIa  ,,,GoverNment,65.11,95378.0,  InSider,, ANtiviRus,67.0,
INdia,2017.0,PhishInG,  IT,53.95,920801.0,,,ANtiviRUs,,57.93
JapaN,2020.0,Man-in-tHE-MidDlE,RetAil,91.36,551038.0,InsIDer,SociAL EnGiNeeRing, Firewall  ,21.0,
ChIna@,2016.0,MAlwarE,TeLecOMmUnicationS,85.8,962508.0,UnkNOwn,SocIal EnGINeEriNG@,AI-bAsEd DeteCtiOn,13.0,26.08
 FrAnce,2020.0,MAlWaRe, HeaLthcaRE,92.29,267554.0,HackEr GroUp,Social ENgiNeeriNg,FiREwall,45.0,
 JaPan,2020.0,  RanSomware  ,,25.3,76258.0,UNkNoWn,,VPN,43.0,9.93
,,,BaNking,,661377.0,HackEr GRouP,Weak PAssWoRds,ANtiViRus,,131.7
AuStralIa,2022.0,SQL InjeCtion,RetaIl,56.62,310341.0,UnKNOWn ,WeaK PAsswords,EnCRyPtIon,32.0,98.43
